======================================================================
  MEV INSURANCE — ECONOMIC REPORT
  2026-05-12 11:44:28
======================================================================

──────────────────────────────────────────────────────────────────────
  EVOLUZIONE POOL (ogni 2 min)
──────────────────────────────────────────────────────────────────────
       Ora         MEVI Pool        ETH Pool
  09:30:27           21.9620        2.298000
  09:32:27           19.6753        2.244000
  09:34:27           25.4911        2.244000
  09:36:27           29.3807        2.226000
  09:38:27           33.0649        2.208000
  09:40:27           23.7400        2.136000
  09:42:28           26.5051        2.118000
  09:44:28           28.9251        2.100000
  09:46:28           28.7384        2.064000
  09:48:28           34.1229        2.064000
  09:50:28           36.8821        2.046000
  09:52:28           39.9182        2.028000
  09:54:28           45.6319        2.028000
  09:56:28           36.2636        6.992000
  09:58:28           40.2958        6.974000
  10:00:28           37.8070        6.920000
  10:02:28           32.1081        6.848000
  10:04:28           28.6860        6.794000
  10:06:28           34.1029        6.794000
  10:08:28           36.8725        6.776000
  10:10:28           40.8178        6.758000
  10:12:28           36.2756        6.704000
  10:14:28           19.9437        6.650000
  10:16:28           20.4962        6.650000
  10:18:28           19.8736        6.614000
  10:20:28           19.4866        6.578000
  10:22:28           17.5506        6.542000
  10:24:28           21.5536        6.524000
  10:26:28           27.0073        6.510000
  10:28:28           21.2748        6.452000
  10:30:28           24.5386        6.434000
  10:32:28           27.6754        6.416000
  10:34:28           31.6497        6.398000
  10:36:28           20.3084        6.326000
  10:38:28           23.7409        6.294000
  10:40:28           23.9499        6.290000
  10:42:28           27.2368        6.272000
  10:44:28           22.7730        6.236000
  10:46:28           14.1058        6.182000
  10:48:29           16.5197        6.146000
  10:50:29           21.7010        6.146000
  10:52:29           17.2562        6.074000
  10:54:29           20.7297        6.056000
  10:56:29           24.4009        6.038000
  10:58:29           26.8400        6.020000
  11:00:29           24.3691        5.966000
  11:02:29           28.1801        5.948000
  11:04:29           24.0214        5.912000
  11:06:29           23.6383        5.876000
  11:08:29           27.1408        5.858000
  11:10:29           30.9109        5.840000
  11:12:29           33.3692        5.822000
  11:14:29           30.2028        5.750000
  11:16:29           30.7333        5.732000
  11:18:29           32.9877        5.714000
  11:20:29           33.1747        5.678000
  11:22:29           38.5299        5.678000
  11:24:29           30.6041        5.624000
  11:26:29           30.2886        5.588000
  11:28:29           28.2789        5.552000
  11:30:29           27.1925        5.534000
  11:32:29           29.9492        5.516000
  11:34:29           23.4748        5.480000
  11:36:29           26.1522        5.462000
  11:38:29           31.4599        5.462000
  11:40:29           32.3084        5.426000
  11:42:29           36.7774        5.390000

──────────────────────────────────────────────────────────────────────
  SOMMARIO TRADER
──────────────────────────────────────────────────────────────────────
                  Trader    Prot    MEVI tot   Attaccato    Premio   Rimborso
  0x14dc79964da2c08b2369  NESSUNA  139251.4659    617.2902    0.0000     0.0000
  0x15d34aaf54267db7d7c3    HIGH  71525.0061    251.2716  274.0831   239.9213
  0x23618e81e3f5cdf7f54c  NESSUNA  83922.6746    255.8103    0.0000     0.0000
  0x3c44cdddb6a900fa2b58    HIGH  70772.8040    256.1291  271.1824   243.4103
  0x71be63f3384f5fb98995  NESSUNA  139786.3399    627.5147    0.0000     0.0000
